token,fold,tau,coverage,width,pinball
MOODENG,3,0.5,,,0.07133003267842963
MOODENG,3,0.75,,,0.04516384692387553
MOODENG,3,0.9,,,0.01985602680523241
MOODENG,3,0.95,,,0.013342613278465247
MOODENG,4,80PI,0.7666666666666667,0.1347493882676344,
MOODENG,4,0.05,,,0.005323313112110496
MOODENG,4,0.1,,,0.008971847345664237
MOODENG,4,0.25,,,0.018993991119564627
MOODENG,4,0.5,,,0.02985724463937991
MOODENG,4,0.75,,,0.02164381545783315
MOODENG,4,0.9,,,0.008602370041870245
MOODENG,4,0.95,,,0.0057818558339835496
MOODENG,5,80PI,0.43333333333333335,0.12640384394206408,
MOODENG,5,0.05,,,0.00898945597329409
MOODENG,5,0.1,,,0.015221257483336574
MOODENG,5,0.25,,,0.021434792151595293
MOODENG,5,0.5,,,0.026711785496706397
MOODENG,5,0.75,,,0.02492463780690597
MOODENG,5,0.9,,,0.021691456241266883
MOODENG,5,0.95,,,0.011350236849492708
PONKE,1,80PI,0.23333333333333334,0.10031586025998394,
PONKE,1,0.05,,,0.010593184578033508
PONKE,1,0.1,,,0.016101863789347404
PONKE,1,0.25,,,0.027901724724702006
PONKE,1,0.5,,,0.03417827058678001
PONKE,1,0.75,,,0.03520664293373694
PONKE,1,0.9,,,0.027948889767579404
PONKE,1,0.95,,,0.02314143844832254
PONKE,2,80PI,0.5333333333333333,0.12155252320542781,
PONKE,2,0.05,,,0.014636442734613618
PONKE,2,0.1,,,0.019779972474398163
PONKE,2,0.25,,,0.030742653414264777
PONKE,2,0.5,,,0.02755268458529819
PONKE,2,0.75,,,0.01954440978597083
PONKE,2,0.9,,,0.011478336118902392
PONKE,2,0.95,,,0.0067683142713702345
PONKE,3,80PI,0.26666666666666666,0.046993659904481545,
PONKE,3,0.05,,,0.005898598188299104
PONKE,3,0.1,,,0.011607518832651941
PONKE,3,0.25,,,0.016076150439325088
PONKE,3,0.5,,,0.01993346644683529
PONKE,3,0.75,,,0.019669327734651472
PONKE,3,0.9,,,0.015086201018441893
PONKE,3,0.95,,,0.013010256696593649
PONKE,4,80PI,0.3333333333333333,0.06559494989182442,
PONKE,4,0.05,,,0.008969193396399188
PONKE,4,0.1,,,0.014866853165241162
PONKE,4,0.25,,,0.019824899392369255
PONKE,4,0.5,,,0.02454539863653884
PONKE,4,0.75,,,0.02334359550037499
PONKE,4,0.9,,,0.018908519030736932
PONKE,4,0.95,,,0.011015447352180687
PONKE,5,80PI,0.6,0.1829166487115093,
PONKE,5,0.05,,,0.008552196581714354
PONKE,5,0.1,,,0.015490989670560087
PONKE,5,0.25,,,0.03367125530572106
PONKE,5,0.5,,,0.04694326163070613
PONKE,5,0.75,,,0.04475190076519919
PONKE,5,0.9,,,0.03686674136829153
PONKE,5,0.95,,,0.030813959775498338
POPCAT,1,80PI,0.4666666666666667,0.15823040576837488,
POPCAT,1,0.05,,,0.014024796813847173
POPCAT,1,0.1,,,0.01974003962678521
POPCAT,1,0.25,,,0.030358166928693434
POPCAT,1,0.5,,,0.04233785659145181
POPCAT,1,0.75,,,0.041466304480558776
POPCAT,1,0.9,,,0.03427173897189809
POPCAT,1,0.95,,,0.03043199018829231
POPCAT,2,80PI,0.5,0.20179343374168782,
POPCAT,2,0.05,,,0.029917383536500548
POPCAT,2,0.1,,,0.042176226394985084
POPCAT,2,0.25,,,0.04848831512141648
POPCAT,2,0.5,,,0.06454273926378438
POPCAT,2,0.75,,,0.048521491690297375
POPCAT,2,0.9,,,0.0334998428963291
POPCAT,2,0.95,,,0.029641636484196664
POPCAT,3,80PI,1.0,0.4549612126642485,
POPCAT,3,0.05,,,0.010725920121063383
POPCAT,3,0.1,,,0.020381597934169986
POPCAT,3,0.25,,,0.035856287446770205
POPCAT,3,0.5,,,0.05653440903500158
POPCAT,3,0.75,,,0.04523302555321473
POPCAT,3,0.9,,,0.025114523332254855
POPCAT,3,0.95,,,0.01256074430654541
POPCAT,4,80PI,0.36666666666666664,0.08195167008990412,
POPCAT,4,0.05,,,0.00577274013526119
POPCAT,4,0.1,,,0.009271764336758038
POPCAT,4,0.25,,,0.02074215732743639
POPCAT,4,0.5,,,0.030708075436615738
POPCAT,4,0.75,,,0.02875950786939864
POPCAT,4,0.9,,,0.029237021860532435
POPCAT,4,0.95,,,0.018014194926182
POPCAT,5,80PI,0.5666666666666667,0.11995291003538615,
POPCAT,5,0.05,,,0.013718196774716107
POPCAT,5,0.1,,,0.017918909071333467
POPCAT,5,0.25,,,0.02595101777737411
POPCAT,5,0.5,,,0.03287979591560008
POPCAT,5,0.75,,,0.03142503687062921
POPCAT,5,0.9,,,0.020724204397673508
POPCAT,5,0.95,,,0.015386127729127815
Pnut,1,80PI,0.6333333333333333,0.10309420636711972,
Pnut,1,0.05,,,0.008727287438832521
Pnut,1,0.1,,,0.01211471917523851
Pnut,1,0.25,,,0.0189903465330623
Pnut,1,0.5,,,0.02215607027570902
Pnut,1,0.75,,,0.021442529293377855
Pnut,1,0.9,,,0.01472449418683562
Pnut,1,0.95,,,0.010815372266554041
Pnut,2,80PI,0.26666666666666666,0.23844529714382273,
Pnut,2,0.05,,,0.021149193949376754
Pnut,2,0.1,,,0.036593848004618165
Pnut,2,0.25,,,0.08077671206727736
Pnut,2,0.5,,,0.12863357147823912
Pnut,2,0.75,,,0.17764551335399548
Pnut,2,0.9,,,0.10677432493599195
Pnut,2,0.95,,,0.0742182786642207
Pnut,3,80PI,0.6333333333333333,0.11531725065096864,
Pnut,3,0.05,,,0.004839726631317754
Pnut,3,0.1,,,0.008454893494718008
Pnut,3,0.25,,,0.015572673553208318
Pnut,3,0.5,,,0.023125836810310284
Pnut,3,0.75,,,0.01962598661100958
Pnut,3,0.9,,,0.013224124009421
Pnut,3,0.95,,,0.010848400187557259
Pnut,4,80PI,0.6333333333333333,0.07868180702674234,
Pnut,4,0.05,,,0.012394728925915918
Pnut,4,0.1,,,0.014638091003333248
Pnut,4,0.25,,,0.020728186889431524
Pnut,4,0.5,,,0.019189018263963655
Pnut,4,0.75,,,0.014934588485043667
Pnut,4,0.9,,,0.010616963306058973
Pnut,4,0.95,,,0.008544215295324228
Pnut,5,80PI,0.6,0.09532035970221577,
Pnut,5,0.05,,,0.011385236972065893
Pnut,5,0.1,,,0.014268261267973226
Pnut,5,0.25,,,0.020454245117732615
Pnut,5,0.5,,,0.020668475071142476
Pnut,5,0.75,,,0.013964787608994111
Pnut,5,0.9,,,0.006895849984414571
Pnut,5,0.95,,,0.0037784849862735567
RETARDIO,1,80PI,0.7,0.13547962385978624,
RETARDIO,1,0.05,,,0.009527074065901895
RETARDIO,1,0.1,,,0.016214015902506904
RETARDIO,1,0.25,,,0.016692169756194426
RETARDIO,1,0.5,,,0.02013031491846187
RETARDIO,1,0.75,,,0.019252312114071087
RETARDIO,1,0.9,,,0.011010890049662764
RETARDIO,1,0.95,,,0.00731080800062617
RETARDIO,2,80PI,0.5333333333333333,0.21213915743051562,
RETARDIO,2,0.05,,,0.016968137769100784
RETARDIO,2,0.1,,,0.02528736216984819
RETARDIO,2,0.25,,,0.03636649326376543
RETARDIO,2,0.5,,,0.04111183397343067
RETARDIO,2,0.75,,,0.038942715323463356
RETARDIO,2,0.9,,,0.029375566651849486
RETARDIO,2,0.95,,,0.018281220021754488
RETARDIO,3,80PI,0.5666666666666667,0.21862711640079877,
RETARDIO,3,0.05,,,0.011014232205125644
RETARDIO,3,0.1,,,0.020331851169443502
RETARDIO,3,0.25,,,0.043064801997987776
RETARDIO,3,0.5,,,0.065310947847903
RETARDIO,3,0.75,,,0.0496485441071526
RETARDIO,3,0.9,,,0.03844898332135674
RETARDIO,3,0.95,,,0.0293444594108846
RETARDIO,4,80PI,0.5666666666666667,0.13719626128308968,
RETARDIO,4,0.05,,,0.008831049081863261
RETARDIO,4,0.1,,,0.013034358135426973
RETARDIO,4,0.25,,,0.022727873882814546
RETARDIO,4,0.5,,,0.02116489667671661
RETARDIO,4,0.75,,,0.018834010258901666
