timestamp,token,tau,pinball
2025-02-27 00:00:00,$WIF,0.95,0.01256219079071624
2025-02-27 12:00:00,$WIF,0.05,0.012930042338130956
2025-02-28 00:00:00,$WIF,0.05,0.018482303930843904
2025-02-28 12:00:00,$WIF,0.05,0.010422209491907595
2025-03-01 00:00:00,$WIF,0.05,0.00868414378139376
2025-03-01 12:00:00,$WIF,0.05,0.005130867913119736
2025-03-02 00:00:00,$WIF,0.05,0.010344440162865346
2025-02-27 12:00:00,$WIF,0.25,0.030665792211778776
2025-02-28 00:00:00,$WIF,0.25,0.04812201998765597
2025-02-28 12:00:00,$WIF,0.25,0.021307566547917073
2025-03-01 00:00:00,$WIF,0.25,0.01764778855116623
2025-03-01 12:00:00,$WIF,0.25,0.0012105901268672243
2025-03-02 00:00:00,$WIF,0.25,0.020185526631303848
2025-02-27 12:00:00,$WIF,0.5,0.026137913450828554
2025-02-28 00:00:00,$WIF,0.5,0.0619257532327086
2025-02-28 12:00:00,$WIF,0.5,0.024238389803114893
2025-03-01 00:00:00,$WIF,0.5,0.011874133315517454
2025-03-01 12:00:00,$WIF,0.5,0.0384427742057175
2025-03-02 00:00:00,$WIF,0.5,0.013372416799613901
2025-02-27 12:00:00,$WIF,0.75,0.007535357663112748
2025-02-28 00:00:00,$WIF,0.75,0.004792173158200276
2025-02-28 12:00:00,$WIF,0.75,0.014708757202009155
2025-03-01 00:00:00,$WIF,0.75,0.029884005857450525
2025-03-01 12:00:00,$WIF,0.75,0.03785597996612145
2025-03-02 00:00:00,$WIF,0.75,0.026000452435925775
2025-02-27 12:00:00,$WIF,0.95,0.00595937664207306
2025-02-28 00:00:00,$WIF,0.95,0.004817905047839354
2025-02-28 12:00:00,$WIF,0.95,0.008447228644866904
2025-03-01 00:00:00,$WIF,0.95,0.012379633863024635
2025-03-01 12:00:00,$WIF,0.95,0.012797189121345138
2025-03-02 00:00:00,$WIF,0.95,0.011574846389221365
2025-03-02 12:00:00,$WIF,0.05,0.028133933336182693
2025-03-03 00:00:00,$WIF,0.05,0.028239909127803754
2025-03-03 12:00:00,$WIF,0.05,0.01911951296105854
2025-03-04 00:00:00,$WIF,0.05,0.013951952161908211
2025-03-04 12:00:00,$WIF,0.05,0.013646460989979787
2025-03-05 00:00:00,$WIF,0.05,0.009882674133282863
2025-03-02 12:00:00,$WIF,0.25,0.06962949974358075
2025-03-03 00:00:00,$WIF,0.25,0.09188814463804595
2025-03-03 12:00:00,$WIF,0.25,0.0309462038636338
2025-03-04 00:00:00,$WIF,0.25,0.034759408965263
2025-03-04 12:00:00,$WIF,0.25,0.0387852002042975
2025-03-05 00:00:00,$WIF,0.25,0.015359300152620648
2025-03-02 12:00:00,$WIF,0.5,0.1086647987578723
2025-03-03 00:00:00,$WIF,0.5,0.15390833469213985
2025-03-03 12:00:00,$WIF,0.5,0.02937550231190755
2025-03-04 00:00:00,$WIF,0.5,0.03400490871894135
2025-03-04 12:00:00,$WIF,0.5,0.0335716503276135
2025-03-05 00:00:00,$WIF,0.5,0.00737326620059265
2025-03-02 12:00:00,$WIF,0.75,0.05979621713475444
2025-03-03 00:00:00,$WIF,0.75,0.12892167580182315
2025-03-03 12:00:00,$WIF,0.75,0.02503994045322075
2025-03-04 00:00:00,$WIF,0.75,0.008603318500594774
2025-03-04 12:00:00,$WIF,0.75,0.0007089329528659257
2025-03-05 00:00:00,$WIF,0.75,0.026827933091371575
2025-03-02 12:00:00,$WIF,0.95,0.004187794319177122
2025-03-03 00:00:00,$WIF,0.95,0.015507358730077633
2025-03-03 12:00:00,$WIF,0.95,0.013294429268260438
2025-03-04 00:00:00,$WIF,0.95,0.008647174122287818
2025-03-04 12:00:00,$WIF,0.95,0.007751575288524352
