variant,pinball_mean,cov80,cov90,w80,w90
QRF-final,0.04636275598154645,0.7664211172498465,0.878146101903008,0.4284713440672903,0.5992579525209688
No-decay,0.04579547248421772,0.7694904849600983,0.8769183548189073,0.4253617436428259,0.6014692011048206
HalfLife-30,0.04653147032936166,0.7676488643339472,0.8753836709637816,0.4360181017848671,0.6011938057580083
HalfLife-90,0.0463376596302531,0.7719459791282995,0.8769183548189072,0.4313592386556017,0.6027970474257066
SplitConformal-only,0.04670169996976649,0.8017188459177409,0.9033149171270718,0.4432406795907089,0.7707117287194604
No-isotonic,0.046875589598598395,0.7676488643339473,0.8775322283609577,0.4334868252832825,0.5922651430414436
Pooled-calibration,0.044800119676661296,0.8170656844689994,0.9103744628606507,0.33237328090214635,0.46209759164195074
