model,interval,coverage
QRF,80%,0.7664211172498465
QRF,90%,0.878146101903008
LQR,80%,0.5081632653061224
LQR,90%,0.6217687074829932
LightGBM,80%,0.7903621853898097
LightGBM,90%,0.9794352363413137
