tau,avg_pinball_loss
0.05,0.014063846379096544
0.1,0.02244324124551323
0.25,0.04158614807573188
0.5,0.06103218946644002
0.75,0.07161778025211014
0.9,0.06596899598470203
0.95,0.04782709046723128
