timestamp,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close
2024-11-30 00:00:00,96771.49042272137,96816.44177566814,96325.09800019009,96325.09800019009,3690.6676709008625,3690.6676709008625,3654.457219871522,3654.457219871522
2024-11-30 12:00:00,96295.48312358867,97062.34005073737,96295.48312358867,96383.40831265219,3660.903182693274,3711.4703907907356,3660.903182693274,3703.65826732671
2024-12-01 00:00:00,96449.75251537087,97102.02262487802,96004.87965292303,97002.85526437357,3706.868153295155,3714.562205130904,3671.630267068356,3691.625046721153
2024-12-01 12:00:00,97134.4449430997,97837.54244122059,97000.42842281252,97755.07541514019,3693.2107876431182,3731.3030991250725,3692.907304498365,3730.4000860274964
2024-12-02 00:00:00,97236.36305090637,97921.26065528078,95015.53517311942,95015.53517311942,3711.1987824301145,3731.6698863884026,3580.379583527892,3580.379583527892
2024-12-02 12:00:00,95105.9103913035,97338.64014986507,94983.1184922097,95609.08860975849,3588.459847631326,3681.7205614968248,3588.459847631326,3624.6370950543637
2024-12-03 00:00:00,95771.7775765992,96182.97659291401,94725.2456544063,94725.2456544063,3645.0922896027582,3657.4893224467287,3586.8935522308298,3586.8935522308298
2024-12-03 12:00:00,95014.00157299479,95986.56802975493,93696.5978439618,95986.56802975493,3613.515132685819,3628.1403935654607,3543.036823786985,3628.1403935654607
2024-12-04 00:00:00,95982.21323900338,96818.903875925,95784.82682188877,96507.04415858182,3621.1404227300795,3724.7820795903926,3621.1404227300795,3719.394541716456
2024-12-04 12:00:00,96282.08107391196,98945.16291617283,94890.05289847856,98380.45507703637,3731.0437302340324,3874.0165560832884,3709.3357309187313,3850.834338767146
2024-12-05 00:00:00,98881.4694561823,103425.4428685291,98238.84818403497,102370.395110099,3837.205060931125,3919.9239484184195,3807.159986691198,3918.923045592771
2024-12-05 12:00:00,102700.51110153912,103606.80283966633,96489.62148540479,96489.62148540479,3938.083867879866,3940.3761358687266,3806.624693382269,3806.624693382269
2024-12-06 00:00:00,97071.79475131465,98400.88389964029,97071.79475131465,98235.61414096713,3791.374120015539,3914.3460721760516,3791.374120015539,3872.7759676728556
2024-12-06 12:00:00,98113.43650949412,101590.52137336919,97830.48395710898,100648.83317503057,3867.363728196567,4067.5774524929366,3854.3543165044903,4031.5841049130713
2024-12-07 00:00:00,99928.05521481452,100408.74512687804,99260.72893790831,99639.93318003212,4007.7256533562368,4018.369292391779,3986.505629108447,3986.815519193383
