model,token,tau,pinball_mean,pinball_se,coverage80,coverage90,width80_mean,width90_mean,n_obs
QRF_v3,$WIF,0.05,0.012117513885698209,0.00152131452279477,0.6466666666666666,0.7266666666666667,0.17618812717893306,0.21921870874345528,150
QRF_v3,$WIF,0.1,0.018397732995196148,0.001870311500582787,0.6466666666666666,0.7266666666666667,0.17618812717893306,0.21921870874345528,150
QRF_v3,$WIF,0.25,0.030101469664219185,0.0022915332781219466,0.6466666666666666,0.7266666666666667,0.17618812717893306,0.21921870874345528,150
QRF_v3,$WIF,0.5,0.0363836428501883,0.002875835301298001,0.6466666666666666,0.7266666666666667,0.17618812717893306,0.21921870874345528,150
QRF_v3,$WIF,0.75,0.03027075701853633,0.003067044305528879,0.6466666666666666,0.7266666666666667,0.17618812717893306,0.21921870874345528,150
QRF_v3,$WIF,0.9,0.020153426782862176,0.0028332464369499252,0.6466666666666666,0.7266666666666667,0.17618812717893306,0.21921870874345528,150
QRF_v3,$WIF,0.95,0.014352236539081359,0.0028018078760317054,0.6466666666666666,0.7266666666666667,0.17618812717893306,0.21921870874345528,150
QRF_v3,$michi,0.05,0.011754208438706898,0.0015511936853755657,0.62,0.7733333333333333,0.19250037389198113,0.2442491143720842,150
QRF_v3,$michi,0.1,0.016687109112822677,0.0015558700798532406,0.62,0.7733333333333333,0.19250037389198113,0.2442491143720842,150
QRF_v3,$michi,0.25,0.02616979871110183,0.0019531629434670246,0.62,0.7733333333333333,0.19250037389198113,0.2442491143720842,150
QRF_v3,$michi,0.5,0.03185439840298548,0.0021855546771643417,0.62,0.7733333333333333,0.19250037389198113,0.2442491143720842,150
QRF_v3,$michi,0.75,0.028129341765754396,0.0021313493650175113,0.62,0.7733333333333333,0.19250037389198113,0.2442491143720842,150
QRF_v3,$michi,0.9,0.01894173232906913,0.0017730187838079644,0.62,0.7733333333333333,0.19250037389198113,0.2442491143720842,150
QRF_v3,$michi,0.95,0.011264141178465012,0.001427257433922875,0.62,0.7733333333333333,0.19250037389198113,0.2442491143720842,150
QRF_v3,ALCH,0.05,0.016618276233546593,0.0024093629928529908,0.7266666666666667,0.82,0.3635052280128953,0.4804122827347025,150
