tau,hit_rate,lo,hi,n
0.05,0.05463474524248005,0.04734241747374693,0.06297608309212467,3258
0.1,0.10681399631675875,0.09666704225686383,0.11788705782920202,3258
0.25,0.2587476979742173,0.24399986266382254,0.2740637772016325,3258
0.5,0.48987108655616945,0.4727277418872107,0.5070382887941636,3258
0.75,0.7203806015960712,0.7047167245644146,0.7355253957620529,3258
0.9,0.8732351135666053,0.8613693160647548,0.8842217957973407,3258
0.95,0.932780847145488,0.9236628986818417,0.9408794267503576,3258
