regime,coverage80,coverage90,width80,width90,n
mid,0.7441860465116279,0.8741450068399452,0.2341066082214621,0.33928393157091824,731
quiet,0.7696850393700787,0.8786089238845144,0.16204130393861996,0.22711134792432042,1524
volatile,0.7776669990029911,0.8803589232303091,0.9749519054425587,1.3541856042854545,1003
