token,timestamp,size,y_true,ret_net
$WIF,2025-02-18 12:00:00,-0.08020790111008083,-0.1003071434033719,0.007644385933181947
$WIF,2025-02-19 00:00:00,-0.03124291151723227,-0.0788597097212046,0.0023075923755080554
$WIF,2025-02-19 12:00:00,-0.09686021285755726,-0.0822493686093679,0.007482390286615277
$WIF,2025-02-20 00:00:00,0.00672003071889965,-0.0934373341938586,-0.0006615019096693208
$WIF,2025-02-20 12:00:00,-0.047374275017697,-0.0013029253054134,-0.00017514623334231373
$WIF,2025-02-21 00:00:00,0.0898002807779926,0.0823181833435207,0.006943194573492469
$WIF,2025-02-21 12:00:00,0.13058492654752346,0.0661487960919928,0.007985111046142369
$WIF,2025-02-22 00:00:00,0.09632867858552462,0.0480224784661549,0.004144298500118889
$WIF,2025-02-22 12:00:00,0.08333333333333333,0.1617546537034782,0.013062887808623183
$WIF,2025-02-23 00:00:00,0.0953998003323057,0.081850374809645,0.007331510412302989
$WIF,2025-02-23 12:00:00,0.13336955492063643,0.0431676192059309,0.00509039838587534
$WIF,2025-02-24 00:00:00,-0.07050957103823476,-0.1023289991793791,0.006862625981718723
$WIF,2025-02-24 12:00:00,-0.0883978796823032,-0.1574425025491125,0.013475593998805645
$WIF,2025-02-25 00:00:00,-0.08097536841401806,-0.21322440137582,0.016861047614195393
$WIF,2025-02-25 12:00:00,-0.09653410015878829,-0.2138045280283864,0.02015675722230077
$WIF,2025-02-26 00:00:00,-0.08306789777420336,-0.1739135695722123,0.014031295129900317
$WIF,2025-02-26 12:00:00,-0.01059204643008713,-0.1109048666265206,0.0011217492644802912
$WIF,2025-02-27 00:00:00,0.07171315659859558,-0.01677507961506,-0.0015615596943816842
$WIF,2025-02-27 12:00:00,-0.010153274775704844,0.0639081297328949,-0.0006996431754579988
$WIF,2025-02-28 00:00:00,-0.01304379543146034,0.074109275382294,-0.0010318852048177044
$WIF,2025-02-28 12:00:00,0.08841455010954792,0.1284121298103371,0.010911427935242081
$WIF,2025-03-01 00:00:00,0.11764562649081657,0.1178166526578408,0.013272385780528528
$WIF,2025-03-01 12:00:00,0.1194030955943216,0.0426222637776367,0.004492214758315938
$WIF,2025-03-02 00:00:00,0.11201712268499936,0.1210099951341761,0.012995105857631183
$WIF,2025-03-02 12:00:00,0.08333333333333333,0.2948767338653213,0.024156394488776777
$WIF,2025-03-03 00:00:00,0.08974192404727548,0.3920512799272266,0.03473472656562993
$WIF,2025-03-03 12:00:00,-0.01769634629737831,0.0356747818956544,-0.000719795025995834
$WIF,2025-03-04 00:00:00,-0.07144836942750675,-0.0455574902341444,0.0028977665453016463
$WIF,2025-03-04 12:00:00,-0.11590596687318268,-0.0594769296448944,0.0063142012027738335
$WIF,2025-03-05 00:00:00,-0.09953614448032486,-0.102907827181995,0.009745367632141731
$WIF,2025-03-05 12:00:00,-0.08671340649386979,-0.229469740314744,0.019464535837485784
$WIF,2025-04-04 12:00:00,-0.049664037363405016,-0.4996891246378036,0.024568259169282
$WIF,2025-04-05 00:00:00,-0.05254648191225227,-0.3970605379708184,0.020601401966991506
$WIF,2025-04-05 12:00:00,-0.06566662482390524,-0.3545633429273056,0.022954644892197507
$WIF,2025-04-06 00:00:00,-0.06623250374521132,-0.3522585805817818,0.022999805238939627
$WIF,2025-04-06 12:00:00,-0.059251969986549274,-0.4452187332621409,0.026083827170765114
$WIF,2025-04-07 00:00:00,-0.051546270046726225,-0.4369364480622956,0.022264712794842826
$WIF,2025-04-07 12:00:00,-0.060541667878192824,-0.1028682949256415,0.005925109807193213
$WIF,2025-04-08 00:00:00,-0.05930025340076505,-0.1388993472391293,0.007940265221477399
$WIF,2025-04-08 12:00:00,-0.04949390303838611,-0.1638771618244202,0.007863450842351832
$WIF,2025-04-09 00:00:00,-0.03503726275455167,-0.0925297835394373,0.0030668040247202964
$WIF,2025-04-09 12:00:00,0.02089749352557947,0.1203027757269368,0.0024095390092350034
$WIF,2025-04-10 00:00:00,0.02665082286930414,0.0994858540568295,0.002518125760123485
$WIF,2025-04-10 12:00:00,0.06790068919286166,0.0527557580083488,0.003242648881694406
$WIF,2025-04-11 00:00:00,0.054450632937931,0.1471408923628929,0.007739661555521841
$WIF,2025-04-11 12:00:00,0.05029106652189552,0.2400587796094853,0.011821356721896204
$WIF,2025-04-12 00:00:00,0.052678953729667535,0.238653986375573,0.012308647537031179
$WIF,2025-04-12 12:00:00,0.052398593710566446,0.2530756042414517,0.012998812796151102
$WIF,2025-04-13 00:00:00,0.05401598491363893,0.3077230958751902,0.016351886179804345
$WIF,2025-04-13 12:00:00,0.06258275371442241,0.197799924817372,0.012065950211004749
$WIF,2025-04-14 00:00:00,0.057875004150025465,0.163239389001961,0.009158105295185986
$WIF,2025-04-14 12:00:00,0.031647046587843515,0.0887843766684195,0.002651528071758901
$WIF,2025-04-15 00:00:00,0.01329053921062774,-0.0100536670150978,-0.00020007135172789078
$WIF,2025-04-15 12:00:00,-0.025843310699455637,-0.1696725670856452,0.004255684314871281
$WIF,2025-04-16 00:00:00,-0.04493455521376341,-0.2149386704379149,0.009433500778296567
$WIF,2025-04-16 12:00:00,-0.02491571785214332,-0.1313900362800455,0.0031490984832757717
$WIF,2025-04-17 00:00:00,-0.03604449030303899,-0.1630666278190584,0.005697431033658123
$WIF,2025-04-17 12:00:00,-0.02986466346283881,-0.1260935670497024,0.0036164186274540685
$WIF,2025-04-18 00:00:00,0.07495381418411072,-0.030380622907828,-0.002651912635151431
$WIF,2025-04-18 12:00:00,0.07669395370518396,0.0192079937079434,0.0010896672116805562
