model,interval,coverage,width
QRF,80%,0.7664211172498465,0.4284713440672903
QRF,90%,0.878146101903008,0.5992579525209688
LQR,80%,0.5081632653061224,0.2198782206508266
LQR,90%,0.6217687074829932,0.27279151615329394
LightGBM,80%,0.7903621853898097,0.47496859651682266
LightGBM,90%,0.9794352363413137,1.3216290862411537
