token,timestamp,size,y_true,ret_net
$WIF,2025-04-24 00:00:00,0.06666666666666667,0.1765927796420594,0.01143951864280396
$WIF,2025-04-24 12:00:00,0.05555555555555555,0.2714384580360391,0.014802136557557728
$WIF,2025-04-25 00:00:00,0.06666666666666667,0.4123252632914951,0.02715501755276634
$WIF,2025-04-25 12:00:00,0.07142857142857142,0.2699563258388724,0.018925451845633743
$WIF,2025-04-26 00:00:00,0.07142857142857142,0.1928556984682019,0.013418264176300135
$WIF,2025-04-26 12:00:00,0.06666666666666667,0.2043447700503196,0.013289651336687972
$WIF,2025-04-27 00:00:00,0.08333333333333333,0.200491050248682,0.016290920854056833
$WIF,2025-04-27 12:00:00,0.0,0.1240033711475447,0.0
$WIF,2025-04-28 00:00:00,0.0625,0.0671060035746953,0.0038816252234184566
$WIF,2025-04-28 12:00:00,0.0,-0.0162464908605041,-0.0
$WIF,2025-04-29 00:00:00,0.0,-0.1234443137944238,-0.0
$WIF,2025-04-29 12:00:00,0.0,-0.0856535731567841,-0.0
$WIF,2025-04-30 00:00:00,0.0,-0.0290583292279723,-0.0
$WIF,2025-04-30 12:00:00,0.0,0.0179026306643241,0.0
$WIF,2025-05-01 00:00:00,0.0,-0.0190262192774796,-0.0
$WIF,2025-05-01 12:00:00,0.0,-0.0098301903672578,-0.0
$WIF,2025-05-02 00:00:00,0.0,0.0285013112996763,0.0
$WIF,2025-05-02 12:00:00,0.0,0.0652438752991961,0.0
$WIF,2025-05-03 00:00:00,0.0,-0.034747225366317,-0.0
$WIF,2025-05-03 12:00:00,0.0,-0.0911484150759812,-0.0
$WIF,2025-05-04 00:00:00,-0.06666666666666667,-0.1431183953882383,0.009207893025882555
$WIF,2025-05-04 12:00:00,-0.07142857142857142,-0.1212894167448612,0.008306386910347227
$WIF,2025-05-05 00:00:00,-0.07692307692307693,-0.108104607844319,0.007931123680332232
$WIF,2025-05-05 12:00:00,-0.08333333333333333,-0.1299131444528469,0.010409428704403909
$WIF,2025-05-06 00:00:00,-0.08333333333333333,-0.0863111034640111,0.006775925288667591
$WIF,2025-05-06 12:00:00,0.0,-0.0205852571034086,-0.0
$WIF,2025-05-07 00:00:00,0.0,0.0237036287933596,0.0
