interval,coverage,lo,hi,mean_width,n
80%,0.7664211172498465,0.7515839453512801,0.7806307627871233,0.4284713440672903,3258
90%,0.878146101903008,0.8664660667095418,0.8889354545191601,0.5992579525209688,3258
