model,policy,mean_ret,vol,sharpe,sortino,max_drawdown,hit_rate,avg_gross,periods,trades
QRF,size_policy_A,0.013589574410776777,0.014755708741195033,0.9209706323300073,13589574410.776777,-0.0016034547282766098,0.8661755678330264,1.0,210,3258
QRF,size_policy_B,0.016028552219229063,0.018804657174562887,0.8523714136122917,,0.0,0.5488029465930019,0.9714285714285714,210,3258
